SECCION;media_nota;media_dim1;media_dim2;total_encuestados;corr;media_p1;media_p2;media_p3;media_p4;media_p5;media_p6;media_p7;media_p8;media_p9;media_p10
S1;19.0666666666667;18.9777777777778;19.1555555555556;45;0.718833527452453;4.77777777777778;4.88888888888889;4.86666666666667;4.86666666666667;4.91111111111111;4.15555555555556;4.71111111111111;4.86666666666667;4.68888888888889;4.88888888888889
S2;18.5555555555556;18.4444444444444;18.6666666666667;51;0.934957935665244;4.64705882352941;4.74509803921569;4.62745098039216;4.66666666666667;4.72549019607843;4.25490196078431;4.52941176470588;4.72549019607843;4.64705882352941;4.76470588235294
S3;18.0333333333333;18.1212121212121;17.9454545454545;55;0.883037014539827;4.50909090909091;4.70909090909091;4.6;4.54545454545455;4.67272727272727;4.14545454545455;4.4;4.65454545454545;4.4;4.49090909090909
S4;9.87908496732026;9.34640522875817;10.4117647058824;51;0.91037211198061;2.11764705882353;2.31372549019608;2.6078431372549;2.50980392156863;2.35294117647059;2.11764705882353;2.80392156862745;2.23529411764706;2.43137254901961;2.94117647058824
S5;6.50746268656716;5.97014925373134;7.04477611940298;67;0.892074027435701;1.43283582089552;1.55223880597015;1.50746268656716;1.56716417910448;1.56716417910448;1.32835820895522;1.8955223880597;1.52238805970149;1.47761194029851;2.14925373134328
S6;15.8888888888889;16.5111111111111;15.2666666666667;30;0.893100530057245;4.06666666666667;4.26666666666667;4;4.23333333333333;4.3;3.9;4.16666666666667;4.03333333333333;3.66666666666667;3.4
S7;19.9166666666667;19.8333333333333;20;4;NA;4.75;5;5;5;5;5;5;5;5;5
